bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_promoted,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Photography","/explore/photography","/projects/shooting-sicily-workshop","2021-09-14T23:59:59-07:00","EUR","1608","0.201","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/y4n8eqbansdoieapoad0.jpg","false","false","false","false","null","2021-07-16T00:00:00-07:00","null","null","null","null","null","2683442","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Landscape photography workshop in some exclusive places of north-eastern Sicily.","[""adventure"",""professional""]","Shooting Sicily Workshop"
"null","Photography","/explore/photography","/projects/the-portfolio-magazine","2017-12-17T23:59:59-08:00","USD","1255","0.035857142857","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qjkkboa4dt6re1abu3xy.jpg","false","false","false","false","null","2017-11-02T18:21:00-07:00","null","null","null","null","null","2240391","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Using Photography and the magazine to showcase raw talent","[""magazines"",""documentary""]","The Portfolio Magazine"
"null","Photography","/explore/photography","/projects/wanderlust-cuba","2017-12-09T23:59:59-08:00","USD","910","0.182","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ouvzmhhyraojkv00kxq9.jpg","false","false","false","false","null","2017-11-19T09:15:25-08:00","null","null","null","null","null","2273289","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A photographic journey into this timeworn and infinitely fascinating island and its people.","[""other""]","Wanderlust Cuba"
"null","Photography","/explore/photography","/projects/nunuk-ragang-portrait-of-north-borneo-natives","2015-03-18T23:59:59-07:00","USD","495","0.165","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/w8n1qe4kwkehqihy5wja.jpg","false","false","false","false","null","2015-01-17T21:50:01-08:00","null","null","null","null","null","1092043","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Photographs the whole 40 Indigenous Native of North Borneo Costume in a proper way.","[""other""]","Nunuk Ragang, Portrait of North Borneo Natives."
"null","Photography","/explore/photography","/projects/camera-equipment-for-richard-mann-fine-art","2015-04-27T23:59:59-07:00","USD","290","0.048333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fux0wofzahbveht2ipbk.jpg","false","false","false","false","null","2015-02-26T18:58:11-08:00","null","null","null","null","null","1144242","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Camera equipment upgrade needed to acheive optimal high quality fine art photography","[""other""]","Camera equipment for Richard Mann  Fine Art"
"null","Photography","/explore/photography","/projects/photographing-the-mountains-of-the-west","2015-07-21T23:59:59-07:00","USD","200","0.266666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lkynapvs54yzvbcra5ca.jpg","false","false","false","false","null","2015-07-07T17:07:56-07:00","null","null","null","null","null","1322100","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","I am embarking on a tour of the mountains of the west to build my Landscape/nature portfolio.","[""other""]","Photographing the mountains of the west"
"null","Photography","/explore/photography","/projects/proceed-one-grunes-licht-fur-die-klimarettung","2016-02-29T23:59:59-08:00","EUR","197","0.00394","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/t9flsfukgl0jjwjlwd9y.jpg","false","false","false","false","null","2016-01-30T05:29:12-08:00","null","null","null","null","null","1599469","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Es weht ein neuer Wind PROCEED 1 - Grünes Licht für die Klimarettung! Autark, zuverlässig und leise.","[""social innovations"",""social innovations""]","PROCEED one - Grünes Licht für die Klimarettung"
"null","Photography","/explore/photography","/projects/pure-eyes-sguardi-dal-myanmar","2016-02-16T23:59:59-08:00","EUR","597","0.74625","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ybeg8amlzpgkdbootfpj.jpg","false","false","false","false","null","2015-12-18T08:50:57-08:00","null","null","null","null","null","1575744","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Help producing photographic exhibition and photobook ""Pure Eyes - sguardi dal Myanmar"".","[""other""]","Pure eyes - sguardi dal Myanmar."
"null","Photography","/explore/photography","/projects/the-centuries-old-olive-trees-of-crete","2017-03-11T23:59:59-08:00","EUR","2810","0.187333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zr5t89pwgpdmyps9txik.jpg","false","false","false","false","null","2017-01-10T10:02:14-08:00","null","null","null","null","null","1917418","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","A coffee-table book featuring age-old Cretan olive groves, in all their sheer beauty and worth.","[""other""]","The centuries-old olive trees of Crete"
"null","Photography","/explore/photography","/projects/a-mon-corps-derangeant-inconvenient-nudes--4","2016-08-07T23:59:59-07:00","CAD","280","0.064560756283","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/cc3wwqg5qwd1r5kgxv5i.jpg","false","false","false","false","null","2016-06-14T10:39:20-07:00","null","null","null","null","null","1787522","campaign","https://www.indiegogo.com/explore/all?project_timing=all&sort=trending","Exposition Photo - Vie sexuelle et handicap
 / Photo Exhibition - Sexuality and disability","[""other""]","A MON CORPS DERANGEANT    -    INCONVENIENT NUDES"
